"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:07:22.8402319 AM","loader2.exe","2056","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7fff55e40000, Image Size: 0x1a1000"
"10:07:22.8403207 AM","loader2.exe","2056","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7fff53cd0000, Image Size: 0x22000"
"10:07:22.8403875 AM","loader2.exe","2056","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7fff54aa0000, Image Size: 0x2b000"
"10:07:22.8404587 AM","loader2.exe","2056","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7fff539d0000, Image Size: 0x119000"
"10:07:22.8405302 AM","loader2.exe","2056","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7fff538a0000, Image Size: 0x9d000"
"10:07:22.8405954 AM","loader2.exe","2056","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7fff54000000, Image Size: 0x100000"
"10:07:22.8406521 AM","loader2.exe","2056","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.8406598 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.8406684 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"10:07:22.8406775 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"10:07:22.8407418 AM","loader2.exe","2056","Thread Create","","SUCCESS","Thread ID: 1700"
"10:07:22.8412264 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"10:07:22.8412351 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"10:07:22.8412480 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 00060305"
"10:07:22.8412570 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000603xx","SUCCESS","Type: REG_SZ, Length: 26, Data: kernel32.dll"
"10:07:22.8416305 AM","loader2.exe","2056","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:07:22.8416534 AM","loader2.exe","2056","QueryBasicInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","CreationTime: 4/1/2026 3:54:02 PM, LastAccessTime: 6/4/2026 10:07:22 AM, LastWriteTime: 4/1/2026 3:54:02 PM, ChangeTime: 4/16/2026 2:27:09 PM, FileAttributes: A"
"10:07:22.8416593 AM","loader2.exe","2056","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"10:07:22.8417050 AM","loader2.exe","2056","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:07:22.8417301 AM","loader2.exe","2056","CreateFileMapping","C:\Windows\System32\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"10:07:22.8417376 AM","loader2.exe","2056","QueryStandardInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","AllocationSize: 188,416, EndOfFile: 184,456, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:07:22.8417469 AM","loader2.exe","2056","CreateFileMapping","C:\Windows\System32\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
"10:07:22.8417884 AM","loader2.exe","2056","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"10:07:22.8418441 AM","loader2.exe","2056","Load Image","C:\Windows\System32\imm32.dll","SUCCESS","Image Base: 0x7fff561a0000, Image Size: 0x2f000"
"10:07:22.8419317 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument\","REPARSE","Desired Access: Read"
"10:07:22.8419403 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8419832 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.8419981 AM","loader2.exe","2056","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\loader2.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.8420069 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8420251 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8420313 AM","loader2.exe","2056","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\loader2.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.8420377 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8420452 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8420642 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read"
"10:07:22.8420735 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles","NAME NOT FOUND","Length: 20"
"10:07:22.8420816 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS",""
"10:07:22.8420875 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read"
"10:07:22.8420942 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableUmpdBufferSizeCheck","NAME NOT FOUND","Length: 20"
"10:07:22.8421001 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS",""
"10:07:22.8421268 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\loader2.exe","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8421454 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8421540 AM","loader2.exe","2056","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8421658 AM","loader2.exe","2056","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"10:07:22.8421748 AM","loader2.exe","2056","RegQueryValue","HKCU\Control Panel\Desktop\EnablePerProcessSystemDPI","NAME NOT FOUND","Length: 20"
"10:07:22.8421848 AM","loader2.exe","2056","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"10:07:22.8422540 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","Desired Access: Read"
"10:07:22.8422823 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32\loader2","NAME NOT FOUND","Length: 172"
"10:07:22.8422933 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS",""
"10:07:22.8423019 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\IME Compatibility","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8425753 AM","loader2.exe","2056","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"10:07:22.8425881 AM","loader2.exe","2056","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:07:22.8425958 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows","SUCCESS","Desired Access: Read"
"10:07:22.8426070 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:07:22.8426179 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows","SUCCESS",""
"10:07:22.8426294 AM","loader2.exe","2056","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\loader2.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.8437037 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read"
"10:07:22.8437292 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles","NAME NOT FOUND","Length: 20"
"10:07:22.8437402 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS",""
"10:07:22.8437493 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read"
"10:07:22.8437575 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableUmpdBufferSizeCheck","NAME NOT FOUND","Length: 20"
"10:07:22.8437643 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS",""
"10:07:22.8438573 AM","loader2.exe","2056","Thread Exit","","SUCCESS","Thread ID: 4496, User Time: 0.0000000, Kernel Time: 0.0000000"
"10:07:22.8936442 AM","loader2.exe","2056","Thread Exit","","SUCCESS","Thread ID: 1700, User Time: 0.0000000, Kernel Time: 0.0000000"
"10:07:23.0069828 AM","loader2.exe","2056","Process Exit","","SUCCESS","Exit Status: 0, User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 647,168, Peak Private Bytes: 688,128, Working Set: 3,903,488, Peak Working Set: 3,907,584"
"10:07:23.0070168 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000","SUCCESS","Desired Access: All Access"
"10:07:23.0070363 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000\\Device\HarddiskVolume3\Users\test_user\Documents\loader2.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: E6 ED 45 3A 3C F4 DC 01 00 00 00 00 00 00 00 00"
"10:07:23.0070639 AM","loader2.exe","2056","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000\\Device\HarddiskVolume3\Users\test_user\Documents\loader2.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 6B 4C 73 3A 3C F4 DC 01 00 00 00 00 00 00 00 00"
"10:07:23.0071702 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000","SUCCESS",""
"10:07:23.0072647 AM","loader2.exe","2056","CloseFile","C:\Users\test_user\Documents","SUCCESS",""
"10:07:23.1560462 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS",""
"10:07:23.1560527 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS",""
"10:07:23.1560598 AM","loader2.exe","2056","RegCloseKey","HKLM","SUCCESS",""
